"filename", "language", "JavaScript", "CSS", "PHP", "comment", "blank", "total"
"c:\wamp64\www\PK\public\css\filament\filament\app.css", "CSS", 0, 1, 0, 0, 0, 1
"c:\wamp64\www\PK\public\css\filament\forms\forms.css", "CSS", 0, 1, 0, 48, 0, 49
"c:\wamp64\www\PK\public\css\filament\support\support.css", "CSS", 0, 1, 0, 0, 0, 1
"c:\wamp64\www\PK\public\index.php", "PHP", 0, 0, 9, 3, 6, 18
"c:\wamp64\www\PK\public\js\filament\filament\app.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\filament\echo.js", "JavaScript", 1, 0, 0, 12, 1, 14
"c:\wamp64\www\PK\public\js\filament\forms\components\color-picker.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\forms\components\date-time-picker.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\forms\components\file-upload.js", "JavaScript", 38, 0, 0, 83, 3, 124
"c:\wamp64\www\PK\public\js\filament\forms\components\key-value.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\forms\components\markdown-editor.js", "JavaScript", 46, 0, 0, 0, 6, 52
"c:\wamp64\www\PK\public\js\filament\forms\components\rich-editor.js", "JavaScript", 127, 0, 0, 5, 19, 151
"c:\wamp64\www\PK\public\js\filament\forms\components\select.js", "JavaScript", 1, 0, 0, 5, 1, 7
"c:\wamp64\www\PK\public\js\filament\forms\components\tags-input.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\forms\components\textarea.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\notifications\notifications.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\support\async-alpine.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\support\support.js", "JavaScript", 15, 0, 0, 21, 11, 47
"c:\wamp64\www\PK\public\js\filament\tables\components\table.js", "JavaScript", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\public\js\filament\widgets\components\chart.js", "JavaScript", 3, 0, 0, 34, 1, 38
"c:\wamp64\www\PK\public\js\filament\widgets\components\stats-overview\stat\chart.js", "JavaScript", 3, 0, 0, 26, 1, 30
"Total", "-", 243, 3, 9, 237, 58, 550
