"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\wamp64\www\PK\resources\css\app.css", "CSS", 0, 0, 3, 0, 1, 4
"c:\wamp64\www\PK\resources\js\app.js", "JavaScript", 0, 4, 0, 0, 4, 8
"c:\wamp64\www\PK\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 2, 5
"c:\wamp64\www\PK\resources\views\auth\confirm-password.blade.php", "PHP", 22, 0, 0, 0, 6, 28
"c:\wamp64\www\PK\resources\views\auth\forgot-password.blade.php", "PHP", 21, 0, 0, 0, 5, 26
"c:\wamp64\www\PK\resources\views\auth\login.blade.php", "PHP", 48, 0, 0, 0, 10, 58
"c:\wamp64\www\PK\resources\views\auth\register-coach.blade.php", "PHP", 34, 0, 0, 0, 5, 39
"c:\wamp64\www\PK\resources\views\auth\register-player.blade.php", "PHP", 55, 0, 0, 0, 9, 64
"c:\wamp64\www\PK\resources\views\auth\register.blade.php", "PHP", 27, 0, 0, 0, 3, 30
"c:\wamp64\www\PK\resources\views\auth\reset-password.blade.php", "PHP", 32, 0, 0, 0, 8, 40
"c:\wamp64\www\PK\resources\views\auth\verify-email.blade.php", "PHP", 26, 0, 0, 0, 6, 32
"c:\wamp64\www\PK\resources\views\components\application-logo.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\wamp64\www\PK\resources\views\components\auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 2, 8
"c:\wamp64\www\PK\resources\views\components\danger-button.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\wamp64\www\PK\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 1, 2
"c:\wamp64\www\PK\resources\views\components\dropdown.blade.php", "PHP", 31, 0, 0, 0, 5, 36
"c:\wamp64\www\PK\resources\views\components\input-error.blade.php", "PHP", 8, 0, 0, 0, 2, 10
"c:\wamp64\www\PK\resources\views\components\input-label.blade.php", "PHP", 4, 0, 0, 0, 2, 6
"c:\wamp64\www\PK\resources\views\components\layout.blade.php", "PHP", 16, 0, 0, 0, 5, 21
"c:\wamp64\www\PK\resources\views\components\modal.blade.php", "PHP", 73, 0, 0, 2, 4, 79
